user_id,magazine_id,review_rating
AE7Y5RLYIKHOZB5NKKOEKYG2SPSQ,B00HLSSQKK,5
AHORTSSMI6ZZFUFWMPT4UFR2ISUQ,B002PXW04Y,4
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,B00HCR5090,5
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,B0000ARXXS,5
AFUB7CHTXRPD447QVQCHBZVN2IPQ,B0025ZOVEO,1
AFPHKIJFGIU4G4POXRFCEF5RJJHA,B002WWMCAA,2
AFPHKIJFGIU4G4POXRFCEF5RJJHA,B001THPA4Y,5
AGRUKTHXESHTPHHK4GQYQNRFZP3A,B00005R8BR,5
AEYVXZF5TQB7IGLLS3HJTDWLSKJQ,B002PXVZ5O,5
AEYGPUCRKH7G4VM22FM3VAKSQ23Q,B00006KSSX,5
AF3I5VHFNDTD3CUFMEPULGWMAMKA,B000W3MB5M,5
AES64NEMPYRENBT6PGCOYYBVDSWQ,B000FTJ7JQ,5
AETAH6GK4TSOTHIVPBFPYZMIQRRA,B01IAIX74Y,5
AETAH6GK4TSOTHIVPBFPYZMIQRRA,B01FV50UIK,5
AHWAIBCVNSK4HAJFE5DNRP636L2A,B002PXVYEQ,5
AHPFHP43AXWRYZZ4HPNCW7I7J3ZQ,B001C4Q06G,5
AEICZD35OTDYVWA2KPYWN4PDZ2SA,B01LY3VKMY,1
AEICZD35OTDYVWA2KPYWN4PDZ2SA,B01LZQEACQ,1
AGLQQCIS5V6EGUCS5SSNHWZHQM6Q,B000063XJL,2
AGLQQCIS5V6EGUCS5SSNHWZHQM6Q,B00005Q7DJ,5
AHBIEPRTTYN6PDTDNDIQJKKETJIQ,B0037STB02,5
AEQ7Y56NEUZTFG2QJYQ4T32EIUZA,B00006KOL8,5
AEKAQ5SHLEIE44SA3WXLLKD4RJVA,B0032KHQTS,5
AEKAQ5SHLEIE44SA3WXLLKD4RJVA,B06XWB4X41,5
AHCDZ4OXU7U4AWYCAK2674R3NYVQ,B001U5SPHO,4
AHCDZ4OXU7U4AWYCAK2674R3NYVQ,B000H4W7VY,5
AFE454TBPJXVP55M6STLR6R5664A,B004GVZUUY,4
AFXFEXKD2XNGFLVJ2MMAXNYJSDAQ,B002PXW26A,5
AE2JU3MEWV5JD7DLS5RLWRQK2OQQ,B00FP5A13G,5
AGAM2CCKV52HI4YZU7ASZTSXA7YQ,B003N3QRFI,5
AE2VZF52AHYFDF3RAWZ67QHLYLRA,B00079RO7G,5
AF6AK5OVE22L55JHPJZITX5SFAUQ,B0029XHGVC,5
AF6AK5OVE22L55JHPJZITX5SFAUQ,B0029XHGSK,5
AEPEQWZ3XSLBKE6RSCNKXGO6YN3A,B0061SHL16,5
AEAW3I4OQJJNGEUOTWPSTNF4NQYQ,B002PXVYUU,5
AERBGR3GPGZ4IJMR3C2SYO64PVLQ,B00F8LWD6U,5
AGF6GWDAWG7UW3R5O2G5O5JZC4BQ,B002VB3X96,1
AEZTSZFWI6C6GOUJ2LIH47YFC4AA,B002PXVYO6,5
AFQW7QX2DREMFPK5WSMQKG27UOQA,B0047ERVHA,5
AGHWYYIDFNU6QHVTQNO4NBCUH3VA,B0061SHL02,1
AGHWYYIDFNU6QHVTQNO4NBCUH3VA,B00006KT0A,5
AGHWYYIDFNU6QHVTQNO4NBCUH3VA,B00006LDIH,5
AGVGIZWQAEFXMES5GGQBTMNNESXQ,B00005N7VL,5
AGG2NB2RZZ42ZAKKZBEMTU35D53Q,B0714C2W8M,5
